pm,stator_yoke,stator_tooth,stator_winding
-0.7441318,-0.73935854,-0.5178857,-0.24783273
-0.7444876,-0.7393222,-0.5178778,-0.24777797
-0.7460379,-0.73931456,-0.518,-0.24774513
-0.7489563,-0.73941374,-0.5182274,-0.24759357
-0.7505289,-0.7395392,-0.5185125,-0.24778457
-0.7519065,-0.7394305,-0.51834244,-0.24728806
-0.7490394,-0.7376147,-0.5152752,-0.2431354
-0.748917,-0.7381942,-0.5161992,-0.244537
-0.7467042,-0.7378637,-0.51549584,-0.2437909
-0.7428724,-0.73768985,-0.51512766,-0.2438925
-0.7402336,-0.73794,-0.5153566,-0.24462584
-0.7367017,-0.7377883,-0.51504755,-0.24476337
-0.73359823,-0.7370967,-0.51364183,-0.24308988
-0.73246986,-0.73743975,-0.51422036,-0.2441815
-0.73167723,-0.73733383,-0.51400423,-0.24397334
-0.73038286,-0.7373401,-0.5139852,-0.2441595
-0.72978085,-0.7369515,-0.51332986,-0.24327278
-0.7295186,-0.73684037,-0.51316583,-0.24308534
-0.72825074,-0.7363702,-0.5122967,-0.24196987
-0.7296458,-0.73646444,-0.5125609,-0.24217087
-0.73237216,-0.7364195,-0.51258236,-0.24175204
-0.7347106,-0.7371571,-0.5138955,-0.24335861
-0.73731685,-0.73731375,-0.5142375,-0.2434493
-0.73909044,-0.7367189,-0.5133268,-0.24178244
-0.74144095,-0.73648554,-0.5129283,-0.24075274
-0.74287164,-0.7364252,-0.5129003,-0.24049747
-0.74451816,-0.7364946,-0.51308924,-0.24052304
-0.7434712,-0.73602736,-0.5121724,-0.23924562
-0.73996145,-0.7355608,-0.5112329,-0.23837233
-0.73654544,-0.73572624,-0.5114239,-0.23924217
-0.7327584,-0.73556405,-0.51099455,-0.23920497
-0.72877955,-0.73606,-0.51167876,-0.24092089
-0.7253815,-0.7359014,-0.51127917,-0.24086036
-0.7226135,-0.7356119,-0.51069707,-0.24043217
-0.72173786,-0.7347566,-0.509241,-0.23836397
-0.7211604,-0.7344475,-0.5087475,-0.23772892
-0.7208139,-0.73424137,-0.5084264,-0.23732227
-0.7207278,-0.73403835,-0.5080152,-0.2366936
-0.72243106,-0.7337635,-0.5075911,-0.23575279
-0.7264816,-0.73461324,-0.5091547,-0.23746045
-0.7288106,-0.7348427,-0.509601,-0.23774165
-0.7300876,-0.7346039,-0.5092793,-0.23705645
-0.7321071,-0.7343072,-0.5088061,-0.2359721
-0.73428106,-0.73427814,-0.50876623,-0.23554048
-0.73648083,-0.7338255,-0.50803894,-0.23404394
-0.7382496,-0.733525,-0.50757337,-0.2330223
-0.7385604,-0.73370576,-0.5078933,-0.23346178
-0.7360505,-0.7331411,-0.506873,-0.23232754
-0.73307484,-0.7329,-0.5064338,-0.23218353
-0.73045516,-0.73307693,-0.5065498,-0.23277302
-0.72742593,-0.73328197,-0.5068048,-0.23366983
-0.72359735,-0.7327203,-0.5057382,-0.23268527
-0.7197706,-0.7320976,-0.50451607,-0.23144107
-0.7184426,-0.7324991,-0.50516057,-0.23265587
-0.71623987,-0.7318953,-0.5041289,-0.23148024
-0.71485627,-0.73154557,-0.50339067,-0.23055685
-0.7165016,-0.7314618,-0.5033164,-0.23016942
-0.71824175,-0.73102486,-0.50273144,-0.2290242
-0.7206117,-0.7309864,-0.5028337,-0.22882521
-0.72221774,-0.73156285,-0.5038929,-0.23018675
-0.7214992,-0.73093104,-0.5028584,-0.22875674
-0.72184783,-0.73100317,-0.50295603,-0.22885077
-0.7238149,-0.73061955,-0.50241876,-0.22771403
-0.7277143,-0.7307521,-0.5027466,-0.22754407
-0.7289685,-0.7306765,-0.50273454,-0.2273518
-0.7306275,-0.7313888,-0.5039884,-0.22899234
-0.73069894,-0.7315624,-0.50430423,-0.22946903
-0.72861713,-0.7313698,-0.50390375,-0.22922383
-0.7271479,-0.7316212,-0.5043799,-0.23024368
-0.72407037,-0.73115957,-0.5035307,-0.2294741
-0.7215754,-0.7309662,-0.50307685,-0.22917823
-0.7194844,-0.73073244,-0.5026127,-0.22882698
-0.7182095,-0.7310738,-0.5031809,-0.22992282
-0.7155913,-0.7304262,-0.5019149,-0.22841257
-0.71351975,-0.72994584,-0.50104326,-0.22743066
-0.711878,-0.72987807,-0.5009015,-0.22750467
-0.7120091,-0.7298486,-0.5008595,-0.22741956
-0.713319,-0.7296423,-0.500565,-0.22674677
-0.7150772,-0.72962266,-0.5006087,-0.22652338
-0.71671784,-0.7297732,-0.5007817,-0.22646458
-0.7179511,-0.73026794,-0.50174254,-0.22776248
-0.71790653,-0.729779,-0.5009308,-0.22653557
-0.7210962,-0.7300924,-0.50160056,-0.22703457
-0.72356755,-0.7302867,-0.5019691,-0.22715664
-0.7264606,-0.73054814,-0.5024214,-0.2273218
-0.7273496,-0.7297049,-0.5008844,-0.22477135
-0.7272989,-0.72958577,-0.5007515,-0.22460407
-0.7256798,-0.7294144,-0.5004684,-0.22447006
-0.72420293,-0.72934806,-0.5002823,-0.22441967
-0.7214827,-0.7292104,-0.4999695,-0.22440742
-0.71810234,-0.7290329,-0.49957043,-0.22437288
-0.7139904,-0.72822696,-0.49807048,-0.22280024
-0.71194345,-0.72834206,-0.4982695,-0.2234838
-0.7105888,-0.72828776,-0.49806476,-0.22335903
-0.7102236,-0.72883725,-0.49898097,-0.22481726
-0.710006,-0.7287227,-0.49870816,-0.22440518
-0.71045023,-0.72844094,-0.49831325,-0.22376391
-0.7108069,-0.7279601,-0.4973532,-0.22217895
-0.7123446,-0.728161,-0.49786276,-0.2227512
-0.7130532,-0.72819364,-0.4979534,-0.22276983
-0.7159917,-0.72847056,-0.49849766,-0.22308952
-0.71938854,-0.72820866,-0.4981004,-0.22186796
-0.7228246,-0.7282519,-0.4982358,-0.22146307
-0.7249859,-0.7277922,-0.49741873,-0.21981531
-0.7281491,-0.72835624,-0.49846286,-0.22087038
-0.7292417,-0.7283702,-0.49846283,-0.22064319
-0.7290067,-0.7282884,-0.49832258,-0.2204689
-0.72652406,-0.7281199,-0.49796602,-0.2203483
-0.7233403,-0.7280141,-0.49763888,-0.22036482
-0.71857655,-0.72693795,-0.49557042,-0.21798085
-0.7147579,-0.7269592,-0.49556917,-0.2186813
-0.7118123,-0.72688866,-0.4954036,-0.21895513
-0.7082941,-0.7264089,-0.49456832,-0.2183196
-0.7071703,-0.7262224,-0.49426284,-0.21806674
-0.7072426,-0.72607756,-0.49405566,-0.2177531
-0.7088513,-0.7260159,-0.493921,-0.21724607
-0.71114427,-0.7268641,-0.49544436,-0.21919805
-0.71165097,-0.7267638,-0.4952782,-0.21884377
-0.7122881,-0.7265241,-0.49495298,-0.21826927
-0.71471936,-0.72660786,-0.49519014,-0.21822011
-0.71673155,-0.7267483,-0.4954731,-0.21829744
-0.71866184,-0.72605234,-0.49422008,-0.21599041
-0.7205088,-0.72648966,-0.49503177,-0.21693909
-0.7237169,-0.72645795,-0.4950694,-0.21643627
-0.7268509,-0.72660685,-0.49542966,-0.2164568
-0.7277379,-0.726645,-0.49553886,-0.2164723
-0.72821695,-0.7267872,-0.49572685,-0.21664616
-0.7255897,-0.7263245,-0.49488208,-0.21581401
-0.72109175,-0.72611046,-0.4943462,-0.21576709
-0.71664345,-0.7256703,-0.49356693,-0.21538725
-0.71455914,-0.7251826,-0.49271488,-0.21445432
-0.7143235,-0.7251775,-0.4927249,-0.21452443
-0.7128199,-0.7252576,-0.49283916,-0.21496314
-0.7111384,-0.7254449,-0.49313593,-0.21571699
-0.70970416,-0.7255228,-0.49315068,-0.2159738
-0.7102968,-0.7257237,-0.49345094,-0.21629305
-0.71006507,-0.72578144,-0.49354327,-0.21647127
-0.71043867,-0.7257744,-0.49350247,-0.2163199
-0.713259,-0.72545743,-0.49300388,-0.21505314
-0.7169215,-0.7255816,-0.49338567,-0.2150391
-0.7185787,-0.7251595,-0.49269474,-0.21370387
-0.7203717,-0.725258,-0.49295807,-0.21381368
-0.72292924,-0.72553045,-0.49348322,-0.21416895
-0.72378063,-0.7256068,-0.49365819,-0.21429926
-0.72445536,-0.7257577,-0.4939582,-0.2146522
-0.72477186,-0.72531277,-0.4931867,-0.21340196
-0.7241587,-0.72562814,-0.49369156,-0.21430048
-0.7230513,-0.7257776,-0.493913,-0.2148245
-0.7198368,-0.7256244,-0.4935931,-0.21489692
-0.7164746,-0.72533476,-0.4930463,-0.21466033
-0.71355546,-0.72455096,-0.4916014,-0.21293508
-0.7118844,-0.7246721,-0.49180105,-0.21355
-0.71069014,-0.7243817,-0.49122155,-0.21286461
-0.70798284,-0.7238358,-0.49027213,-0.2119029
-0.70671517,-0.7238833,-0.49032283,-0.2122004
-0.7048326,-0.72360355,-0.4898441,-0.21181631
-0.7034782,-0.72389877,-0.4902955,-0.21273656
-0.7038102,-0.72344756,-0.4895498,-0.21154396
-0.70609,-0.72333664,-0.4893039,-0.21073078
-0.7093037,-0.7233791,-0.48949292,-0.21046767
-0.7123034,-0.72357464,-0.49001837,-0.21079914
-0.7151879,-0.72350895,-0.48993468,-0.21014456
-0.7169515,-0.72333276,-0.48967862,-0.20944296
-0.7184002,-0.7232078,-0.4894939,-0.20890582
-0.7186092,-0.72319865,-0.48939142,-0.20868443
-0.7192944,-0.72327244,-0.48954657,-0.20879906
-0.71992385,-0.7233565,-0.489726,-0.20897087
-0.72078526,-0.7240442,-0.49089795,-0.21060771
-0.71787095,-0.7238808,-0.4905019,-0.21048746
-0.71295327,-0.7227917,-0.48855707,-0.20838478
-0.71026707,-0.7231078,-0.4889797,-0.20950013
-0.70871466,-0.72307724,-0.48890668,-0.20966415
-0.7062809,-0.7229011,-0.48864016,-0.20972557
-0.704832,-0.7223135,-0.48764163,-0.20846839
-0.7050477,-0.72254,-0.48802185,-0.20900954
-0.7040999,-0.7221382,-0.48737457,-0.20821151
-0.70367974,-0.72208905,-0.48722744,-0.20805547
-0.7054418,-0.7221714,-0.4874577,-0.208111
-0.70747447,-0.722313,-0.48774186,-0.20817822
-0.70289296,-0.719564,-0.48355526,-0.20287603
-0.70724005,-0.71968466,-0.48364472,-0.20213784
-0.7107928,-0.7206812,-0.48525596,-0.20388745
-0.7136408,-0.7209478,-0.485588,-0.20382427
-0.7186959,-0.72145873,-0.48655576,-0.20439671
-0.7240853,-0.7217938,-0.48726398,-0.20453362
-0.7262163,-0.72213995,-0.48785752,-0.2050408
-0.7251627,-0.7222566,-0.48798776,-0.20540108
-0.7237342,-0.7221775,-0.4878314,-0.20541859
-0.72098255,-0.7219548,-0.487216,-0.20490052
-0.716588,-0.721903,-0.48711288,-0.20555611
-0.7115603,-0.7215832,-0.4865226,-0.20557149
-0.70761067,-0.72129977,-0.485941,-0.20536755
-0.7055648,-0.721423,-0.48616874,-0.20611744
-0.7024741,-0.720229,-0.48404413,-0.20340315
-0.6999367,-0.71988297,-0.48329213,-0.20267919
-0.7008095,-0.720415,-0.4842706,-0.20403723
-0.70293134,-0.72033083,-0.48417985,-0.20351425
-0.70500815,-0.7207291,-0.4849018,-0.20425016
-0.69274676,-0.71489346,-0.47568053,-0.19281808
-0.66821384,-0.7041847,-0.45918396,-0.17320871
-0.66356796,-0.70090693,-0.45396435,-0.16635501
-0.66839314,-0.70167464,-0.45542896,-0.16772497
-0.66337585,-0.6976338,-0.44936937,-0.15987056
-0.6567779,-0.6929936,-0.44252077,-0.15125735
-0.6479307,-0.68773615,-0.43456835,-0.14140524
-0.6555236,-0.6908218,-0.43919024,-0.14662027
-0.66049844,-0.6925236,-0.44146553,-0.14881296
-0.6561997,-0.69131154,-0.43957144,-0.14685996
-0.6434653,-0.6866962,-0.4324689,-0.13895065
-0.6343575,-0.68308467,-0.42679042,-0.13237107
-0.63156486,-0.6832002,-0.42680886,-0.13286741
-0.6420125,-0.69031465,-0.43760183,-0.14651772
-0.65708524,-0.69815326,-0.449365,-0.16066709
-0.6679349,-0.70409065,-0.4585345,-0.17206487
-0.67732906,-0.7077739,-0.464117,-0.17841715
-0.6797425,-0.70839065,-0.46510956,-0.17943627
-0.6804924,-0.7083786,-0.46522015,-0.17952634
-0.6839918,-0.7092905,-0.466757,-0.18118894
-0.6832654,-0.7083287,-0.46521437,-0.1790176
-0.69179475,-0.71157277,-0.47024113,-0.1848283
-0.6995755,-0.7137129,-0.47362295,-0.1883756
-0.7067916,-0.7158789,-0.4772296,-0.19248118
-0.71176034,-0.71691215,-0.47889283,-0.19403507
-0.71809244,-0.7177849,-0.48037985,-0.19510868
-0.7120641,-0.7136259,-0.4740098,-0.1868515
-0.700455,-0.7083398,-0.46563074,-0.17656843
-0.700823,-0.708763,-0.46629906,-0.17748992
-0.6964195,-0.7083081,-0.46557626,-0.17725104
-0.6938187,-0.7081822,-0.46519133,-0.1770702
-0.6898136,-0.7073241,-0.46367908,-0.1755031
-0.68816024,-0.7080518,-0.46480653,-0.17749085
-0.6243477,-0.6809075,-0.42260915,-0.12783231
-0.56679755,-0.65356565,-0.37960204,-0.07647679
-0.58945566,-0.665545,-0.39854252,-0.09955828
-0.60637623,-0.6739574,-0.41165277,-0.11529809
-0.6262252,-0.6833983,-0.42636952,-0.13290274
-0.6495115,-0.6938049,-0.4425534,-0.15209398
-0.6584464,-0.6981425,-0.44917932,-0.16006169
-0.64359874,-0.6915823,-0.43893355,-0.14785251
-0.63054174,-0.685363,-0.42939356,-0.13647516
-0.6401468,-0.6881696,-0.433826,-0.14112006
-0.62985843,-0.6811387,-0.42305243,-0.1274185
-0.61859155,-0.6739745,-0.41212183,-0.11375935
-0.6414579,-0.6839387,-0.4276472,-0.13200879
-0.66706806,-0.69461536,-0.44426948,-0.1514502
-0.6858111,-0.70212114,-0.4560048,-0.16516857
-0.69912267,-0.7070353,-0.46362346,-0.17386481
-0.70669836,-0.71004003,-0.4681563,-0.1790565
-0.70845777,-0.71198344,-0.4710672,-0.18297994
-0.7070512,-0.7133732,-0.47307295,-0.1861592
-0.7066077,-0.7144602,-0.47471812,-0.1886541
-0.6987504,-0.7122328,-0.47107804,-0.18465318
-0.6831861,-0.70656455,-0.46205875,-0.17416997
-0.67253274,-0.70262474,-0.45588785,-0.16708179
-0.6740598,-0.7032708,-0.45694694,-0.16837831
-0.6708129,-0.7014748,-0.45398477,-0.1645552
-0.6518777,-0.69320154,-0.44124824,-0.14953096
-0.6449163,-0.6893939,-0.4353505,-0.1422269
-0.62913036,-0.6811344,-0.42258087,-0.12663251
-0.5844694,-0.6581553,-0.38682878,-0.08340243
-0.52888346,-0.6273826,-0.33696342,-0.021789126
-0.46508768,-0.59429,-0.27916256,0.050484084
-0.4330585,-0.577437,-0.24796686,0.0904578
-0.43441793,-0.57566214,-0.24519877,0.09466489
-0.44510266,-0.57802624,-0.24998878,0.089572124
-0.47230065,-0.5892491,-0.2710753,0.06361467
-0.47864372,-0.5924653,-0.277029,0.05602773
-0.46530914,-0.58788854,-0.26829308,0.06640908
-0.4645701,-0.58971536,-0.27152228,0.061481904
-0.46344295,-0.59210193,-0.27556953,0.055340696
-0.45499897,-0.59055525,-0.27257016,0.058116045
-0.4447488,-0.58809304,-0.26785582,0.063089624
-0.4369779,-0.5864659,-0.2645385,0.06656246
-0.44116777,-0.59024155,-0.2713136,0.057380494
-0.41910765,-0.57897055,-0.25010827,0.0846566
-0.40001526,-0.56966066,-0.23189098,0.10834878
-0.39063847,-0.56540275,-0.2234404,0.11929227
-0.37622848,-0.5581658,-0.20885937,0.1386517
-0.38964716,-0.56229734,-0.21744122,0.12815079
-0.41198605,-0.5709014,-0.2344561,0.10685539
-0.40428975,-0.56658286,-0.22620253,0.11770209
-0.3826895,-0.55570096,-0.20450234,0.14635177
-0.3861183,-0.5552782,-0.2039577,0.14775667
-0.38601196,-0.55315065,-0.20000488,0.15364237
-0.39675754,-0.55539525,-0.20507997,0.14787173
-0.4383489,-0.5732049,-0.24045931,0.102652624
-0.48146906,-0.5942087,-0.27963996,0.052983053
-0.5037933,-0.60737246,-0.30297917,0.023043059
-0.5003738,-0.6077199,-0.30335104,0.02187914
-0.474973,-0.5980168,-0.28592116,0.042507976
-0.46293107,-0.59425634,-0.27889508,0.050537303
-0.45464858,-0.59196144,-0.27432522,0.055775862
-0.45968264,-0.59562176,-0.2810043,0.046860464
-0.47923282,-0.60514617,-0.29801744,0.025686711
-0.45900154,-0.5954347,-0.28058186,0.047388848
-0.41121098,-0.57321,-0.23883317,0.100124404
-0.3792597,-0.55919147,-0.21098934,0.1359699
-0.39560333,-0.56646615,-0.2254774,0.11721368
-0.44721243,-0.5888474,-0.26871726,0.06254706
-0.4778653,-0.6025993,-0.29394746,0.031240478
-0.5038659,-0.6141674,-0.31421375,0.0066750348
-0.52356327,-0.6219664,-0.3278318,-0.00943815
-0.56181073,-0.63781786,-0.35423484,-0.040326245
-0.59836644,-0.6538109,-0.3799167,-0.07042909
-0.58784866,-0.6466865,-0.36874878,-0.056316197
-0.5334908,-0.6183105,-0.32233664,0.00043444335
-0.5112493,-0.60694784,-0.30277935,0.02466894
-0.5099635,-0.60745347,-0.30355048,0.02330523
-0.49656773,-0.60339314,-0.29620457,0.03146978
-0.4733483,-0.595211,-0.2810846,0.049271278
-0.45993626,-0.59124804,-0.2736804,0.05757214
-0.44300488,-0.5850541,-0.26199305,0.07161028
-0.41471633,-0.5734225,-0.2396038,0.09953435
-0.43380567,-0.5837738,-0.25915918,0.074118756
-0.48460212,-0.60987395,-0.30602697,0.015088938
-0.5354915,-0.6354494,-0.3489718,-0.037397593
-0.56187165,-0.6477646,-0.36900687,-0.061325856
-0.5547042,-0.6438763,-0.36290237,-0.053940363
-0.5261205,-0.62856376,-0.3377478,-0.022937499
-0.53339225,-0.63044506,-0.34110284,-0.026464611
-0.54200083,-0.6315283,-0.34305692,-0.027612232
-0.5183612,-0.6165984,-0.31822878,0.0038848966
-0.5240994,-0.61627513,-0.3180321,0.005211726
-0.5208717,-0.61102605,-0.30933622,0.017252058
-0.50056434,-0.5987411,-0.28806838,0.04437604
-0.50000745,-0.5971094,-0.2853639,0.048192844
-0.49845964,-0.59555763,-0.28263265,0.05191714
-0.48817843,-0.592563,-0.27705023,0.058126207
-0.4897346,-0.59728014,-0.2849683,0.046903852
-0.5246272,-0.61809134,-0.32087424,0.0012537017
-0.55620044,-0.6373361,-0.35252553,-0.038525224
-0.579943,-0.6521256,-0.37619513,-0.0682357
-0.60332984,-0.6655135,-0.39723322,-0.09420239
-0.62908554,-0.6791328,-0.41844177,-0.12007039
-0.64793605,-0.6888286,-0.43332562,-0.1381109
-0.6625149,-0.6953379,-0.44343093,-0.15011038
-0.6752645,-0.69994247,-0.45064974,-0.15830249
-0.6860764,-0.70331895,-0.45599225,-0.1641473
-0.69511086,-0.705708,-0.45980835,-0.16809835
-0.69751614,-0.70479846,-0.45849064,-0.16573294
-0.686607,-0.6981329,-0.44817105,-0.15260474
-0.67200184,-0.6895178,-0.43497902,-0.1360692
-0.65847903,-0.6799059,-0.42013153,-0.116914235
-0.6421391,-0.66929024,-0.40383193,-0.09635612
-0.61124814,-0.65224814,-0.3773168,-0.06389404
-0.5762398,-0.6334423,-0.3470878,-0.026788168
-0.5704756,-0.6315572,-0.3438614,-0.023198843
-0.5891191,-0.6435338,-0.3632891,-0.047839403
-0.59085315,-0.64747995,-0.36932915,-0.05619763
-0.5325736,-0.62160254,-0.3267619,-0.0057242885
-0.4972719,-0.6070688,-0.30151817,0.024278633
-0.4891531,-0.6064985,-0.300137,0.024785355
-0.46143636,-0.59527266,-0.27972406,0.04945278
-0.42970327,-0.5811657,-0.25363475,0.08183159
-0.3895801,-0.5624244,-0.21725424,0.12855831
-0.39268774,-0.5632304,-0.21906154,0.12636259
-0.42905998,-0.57914835,-0.25016344,0.08677615
-0.43557224,-0.5812407,-0.25431573,0.0818125
-0.42042455,-0.57297486,-0.23863648,0.102221556
-0.42313766,-0.572149,-0.23749217,0.10433819
-0.45167786,-0.5824483,-0.25738487,0.080260366
-0.46715257,-0.5871756,-0.26659337,0.06955174
-0.45049742,-0.5767757,-0.24753624,0.094466045
-0.4612021,-0.579425,-0.25257376,0.08914883
-0.4357269,-0.56597745,-0.22692376,0.12240463
-0.3491929,-0.52786773,-0.14981046,0.22252071
-0.29335248,-0.505254,-0.103372805,0.28314757
-0.25317153,-0.4896044,-0.07214108,0.32347283
-0.21508573,-0.4765967,-0.046416394,0.35596052
-0.18844506,-0.4698498,-0.032562606,0.37281385
-0.18281631,-0.4701086,-0.032157652,0.37292868
-0.17934799,-0.47127786,-0.033726968,0.37040973
-0.16518532,-0.46863604,-0.02786795,0.37735707
-0.1367843,-0.46080273,-0.01233878,0.39645553
-0.12026158,-0.4560299,-0.0030012354,0.40796718
-0.12374374,-0.45722482,-0.0053915232,0.40491033
-0.11415045,-0.4539415,0.00089717656,0.41278887
-0.10017525,-0.44882873,0.010562293,0.42496467
-0.09894246,-0.44754732,0.012569942,0.42754665
-0.091188565,-0.44341287,0.019903667,0.43693137
-0.07922748,-0.43789217,0.029664904,0.44918424
-0.07296948,-0.43432367,0.03583113,0.45701224
-0.072504,-0.43212283,0.03951492,0.4620242
-0.08726111,-0.43502128,0.03321989,0.45454925
-0.099096745,-0.4375584,0.027918816,0.44825384
-0.09965056,-0.43728584,0.028298207,0.4488167
-0.10527454,-0.43897974,0.025123656,0.44498613
-0.11567001,-0.44216275,0.019092597,0.4376405
-0.11043875,-0.44149214,0.020810872,0.43959576
-0.09232758,-0.43789998,0.02838242,0.44847298
-0.07968664,-0.43573838,0.033074617,0.45385426
-0.06550194,-0.4336363,0.03807628,0.45965034
-0.057967663,-0.43454093,0.03758309,0.45849633
-0.053440437,-0.4351399,0.037316278,0.4578985
-0.04128705,-0.43342486,0.041566834,0.46287906
-0.03319779,-0.4324625,0.04386159,0.4653693
-0.028552666,-0.43142694,0.04578623,0.46754518
-0.028910369,-0.43015218,0.047715038,0.470145
-0.031757683,-0.4299718,0.047553867,0.47006238
-0.033940986,-0.4295937,0.047903985,0.47068083
-0.034494862,-0.42745194,0.05129686,0.47531328
-0.051866084,-0.42949855,0.04592368,0.46918383
-0.06248711,-0.42991978,0.044036433,0.46736997
-0.05149801,-0.42614314,0.051054254,0.47598448
-0.041591033,-0.42332524,0.05638829,0.48237485
-0.031463444,-0.4207485,0.061534055,0.48856604
-0.027050152,-0.41914207,0.06479068,0.49273378
-0.031526804,-0.42044693,0.0621773,0.48950985
-0.02852498,-0.42074877,0.06215854,0.48933363
-0.020770296,-0.42171067,0.06160059,0.48809463
-0.014970809,-0.42344004,0.059644178,0.48513252
-0.011000529,-0.42544985,0.05707238,0.4814871
-0.009739295,-0.42691243,0.05515118,0.47893345
-0.023663133,-0.430633,0.04765226,0.4697498
-0.06392294,-0.43987656,0.02861283,0.44680804
-0.14002392,-0.46194327,-0.014562778,0.39355066
-0.23017424,-0.49364156,-0.076216646,0.31510204
-0.29215652,-0.5174782,-0.12479574,0.25151086
-0.33180743,-0.5325371,-0.15642151,0.21009597
-0.35249794,-0.53959733,-0.17171161,0.19037746
-0.36297953,-0.54175335,-0.17672518,0.18455036
-0.3776061,-0.5452794,-0.18445316,0.17546412
-0.39516512,-0.550703,-0.19589187,0.16141224
-0.40834126,-0.55451775,-0.20369926,0.15218738
-0.4175609,-0.55729485,-0.20928866,0.14558595
-0.43029374,-0.56237364,-0.21950671,0.13267466
-0.44646373,-0.5689593,-0.23223813,0.11687109
-0.44362345,-0.5690218,-0.23229559,0.116202936
-0.43831822,-0.56916225,-0.232034,0.11569536
-0.42686963,-0.5669262,-0.22729896,0.12059787
-0.3968718,-0.55674237,-0.20659544,0.14600149
-0.3942445,-0.5593809,-0.21136966,0.13838395
-0.36394858,-0.54767716,-0.18734431,0.16904262
-0.30881232,-0.52492535,-0.13984719,0.23151132
-0.2753715,-0.51137877,-0.11172087,0.26871574
-0.27602735,-0.511519,-0.112010404,0.26838744
-0.26690245,-0.50759387,-0.10417008,0.2787213
-0.25183314,-0.50082207,-0.09047836,0.29697123
-0.2626952,-0.50356287,-0.09649042,0.28947124
-0.22603834,-0.48625553,-0.06277016,0.33406967
-0.17874576,-0.46582055,-0.024268322,0.38365853
-0.14364254,-0.45192996,0.0013832301,0.41593474
-0.11626513,-0.44161025,0.0205343,0.43985057
-0.1019572,-0.43643722,0.030097522,0.45167226
-0.09408794,-0.43361816,0.035236232,0.45797545
-0.080362394,-0.42905664,0.04395564,0.4687656
-0.069433615,-0.4260179,0.049893737,0.47595775
-0.058891684,-0.42425466,0.053855598,0.48054588
-0.044676572,-0.42300832,0.057263598,0.48406595
-0.02797781,-0.42158848,0.06142792,0.48853338
-0.016477823,-0.42092943,0.0638101,0.49098018
-0.011699066,-0.42168406,0.06321728,0.4898938
-0.009177312,-0.4232474,0.061165966,0.48703584
